epoch,step,train_kl,train_loss,train_recon_loss,val_kl,val_loss,val_recon_loss
0,49,0.00010510078573133796,0.03352434188127518,0.03341924026608467,,,
0,99,0.0001464832603232935,0.020630788058042526,0.020484304055571556,,,
0,149,0.00017913422198034823,0.014380005188286304,0.014200870878994465,,,
0,153,,,,0.0001942910603247583,0.016218578442931175,0.016024284064769745
1,199,0.00020408762793522328,0.011232897639274597,0.011028810404241085,,,
1,249,0.00022468982206191868,0.009492123499512672,0.009267433546483517,,,
1,299,0.00023822583898436278,0.008414790034294128,0.008176564238965511,,,
1,307,,,,0.0002475071814842522,0.009779281914234161,0.009531775489449501
2,349,0.00024918114650063217,0.008016885258257389,0.007767703849822283,,,
2,399,0.00025812999228946865,0.007513565011322498,0.007255434989929199,,,
2,449,0.00026503088884055614,0.007456810213625431,0.007191779557615519,,,
2,461,,,,0.00027854624204337597,0.007051246240735054,0.006772699765861034
3,499,0.0002708204265218228,0.007046450860798359,0.006775630638003349,,,
3,549,0.00027742062229663134,0.00611536530777812,0.0058379448018968105,,,
3,599,0.00027950675575993955,0.0063804215751588345,0.006100914906710386,,,
3,615,,,,0.00029149948386475444,0.006707837339490652,0.006416337098926306
4,649,0.0002833387115970254,0.006904067471623421,0.006620728876441717,,,
4,699,0.00028591923182830215,0.006297112442553043,0.00601119315251708,,,
4,749,0.00028767442563548684,0.006938557606190443,0.006650883238762617,,,
4,769,,,,0.00028410431696102023,0.0057433475740253925,0.005459243431687355
5,799,0.000288171402644366,0.005765506997704506,0.005477335769683123,,,
5,849,0.00029089287272654474,0.005212067160755396,0.004921174142509699,,,
5,899,0.00029235283727757633,0.00482611870393157,0.004533765837550163,,,
5,923,,,,0.00029583650757558644,0.005165598355233669,0.004869761876761913
6,949,0.00029073687619529665,0.005296305753290653,0.005005568731576204,,,
6,999,0.00029172489303164184,0.004901343025267124,0.0046096183359622955,,,
6,1049,0.00029157957760617137,0.005071887746453285,0.004780308343470097,,,
6,1077,,,,0.0002964918967336416,0.0051149954088032246,0.004818503744900227
7,1099,0.0002946678432635963,0.004477165173739195,0.004182497505098581,,,
7,1149,0.00029340264154598117,0.004720586817711592,0.004427184350788593,,,
7,1199,0.0002927598252426833,0.004620612598955631,0.0043278527446091175,,,
7,1231,,,,0.0002951083006337285,0.004753508605062962,0.004458399955183268
8,1249,0.00029407491092570126,0.00458386167883873,0.004289786797016859,,,
8,1299,0.00029406361863948405,0.00466411467641592,0.004370050970464945,,,
8,1349,0.000293768011033535,0.0044535244815051556,0.0041597564704716206,,,
8,1385,,,,0.00030310379224829376,0.004583108704537153,0.004280005116015673
9,1399,0.0002953381044790149,0.004929819144308567,0.00463448092341423,,,
9,1449,0.0002940997655969113,0.004421144723892212,0.004127045162022114,,,
9,1499,0.00029342531342990696,0.00425767432898283,0.0039642490446567535,,,
9,1539,,,,0.0002966252213809639,0.004505586810410023,0.004208962898701429
10,1549,0.00029372700373642147,0.003964046016335487,0.003670319216325879,,,
10,1599,0.00029253255343064666,0.003924625460058451,0.003632092848420143,,,
10,1649,0.00029390864074230194,0.004347099922597408,0.004053191281855106,,,
10,1693,,,,0.00029858306515961885,0.004069929476827383,0.003771345829591155
11,1699,0.00029125536093488336,0.004011546727269888,0.0037202914245426655,,,
11,1749,0.00029062392422929406,0.003915705252438784,0.0036250813864171505,,,
11,1799,0.0002928638714365661,0.005195177160203457,0.0049023134633898735,,,
11,1847,,,,0.00030111600062809885,0.004103647079318762,0.003802531398832798
12,1849,0.0002912977652158588,0.004996481351554394,0.004705183673650026,,,
12,1899,0.00029241794254630804,0.005068205296993256,0.004775787238031626,,,
12,1949,0.00029163502040319145,0.0037055849097669125,0.0034139498602598906,,,
12,1999,0.00029132256167940795,0.004428857006132603,0.004137534648180008,,,
12,2001,,,,0.0002947507018689066,0.0046274783089756966,0.0043327282182872295
13,2049,0.00029225446633063257,0.003759486833587289,0.0034672324545681477,,,
13,2099,0.0002916772791650146,0.0036869619507342577,0.0033952847588807344,,,
13,2149,0.0002913123753387481,0.003646839177235961,0.0033555268310010433,,,
13,2155,,,,0.0002961904392577708,0.003961335867643356,0.0036651454865932465
14,2199,0.0002900258987210691,0.003640581853687763,0.003350555896759033,,,
14,2249,0.00028908910462632775,0.0033801973331719637,0.003091108286753297,,,
14,2299,0.0002894243807531893,0.004198908805847168,0.0039094844833016396,,,
14,2309,,,,0.00029166083550080657,0.0036982668098062277,0.0034066056832671165
